competitorname,chocolate,fruity,caramel,peanutalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Sugar Daddy,0,0,1,0,0,0,0,0,0,41.800000999999995,32.499999,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,16.2,11.600000000000001,27.303865
Swedish Fish,0,1,0,0,0,0,0,0,1,60.399997000000006,75.5,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,60.399997000000006,32.499999,48.982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,31.299999,51.099998,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,17.399999,1.0999999999999999,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,46.5,32.499999,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,31.299999,25.5,47.173229
Twix,1,0,1,0,0,1,0,1,0,54.6,90.600002,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,22.0,11.600000000000001,45.466282
Warheads,0,1,0,0,0,0,1,0,0,9.3000002,11.600000000000001,39.011898
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,31.299999,31.299999,44.375519
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,18.6,26.699999000000002,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,87.199998,84.799999,49.524113
